tweed_id	rating	tweet
56	0	@FAIRImmigration @NBCNews @JuliaEAinsley You must not get the same news I get.  Remember all the people who died wh… https://t.co/pYLMBCHbtl
57	2	TRAFFIC ALERT UPDATE: The OSB sustained heavy damage and will need to be taken down for #safety reasons. That means Loop 1604 at Kyle Seale is being closed with traffic diverted off mainlanes to the frontage road at Babcock. Expect delays for hours. Seek alternative routes.… https://t.co/c1kU25HGak
58	0	"Our Ottawa retail shop will be closed today (Saturday, January 12th) due to poor road conditions. Sorry for any inc… https://t.co/aVjhbzRQVK"
59	0	We are closed today due to bad road conditions. Thank you!
60	2	Road closed due to broken water main in #Phoenix on 7th Ave Both NB/SB at Deer Vly Rd #PHXtraffic https://t.co/hUIi7YWVvM
61	1	"Our partners at @CaltransDist7 need some extra time to clean-up and address damage to the on-ramp, so they are going to keep the BORCHARD ROAD ON-RAMP TO SOUTHBOUND US 101 CLOSED until approx 9:30 AM.https://t.co/HjrZNkRj1v"
62	2	"Closed due to road construction in #TheWoodlands on I-45 N Fwy Outbound between Rayford and Woodlands Pkwy, stopped traffic back to Louetta"
63	0	We are closed for lunch today due to the road conditions for some of our staff. We will try to open tonight for din… https://t.co/eG3GzYIyfR
64	0	SNOW DAY The Bargain Boutique will be CLOSED today due to slick road conditions. 
65	2	Incident on I-10 EB @ MP27.9 at Exit 27/Causeway in Mobile. Road closed. Seek alternate route. More details: https://t.co/Hc0lXBWFtr
66	2	Major Crash on AL71 SB @ MP7.1 at AL40 in Dutton. Road closed. Seek alternate route. More details: https://t.co/7F1rTMZvng
67	0	The road leading to the house authorities believe Jayme Closs was kept in is still closed off this morning. Yesterd… https://t.co/hBKJMBsbDi
68	2	At 3:54 AM we responded to an overturned vehicle on the Borchard Road on-tamp to southbound US 101. This was a solo vehicle collision with major injuries. The on-ramp was closed to facilitate rescue of the driver and our investigation. We expect to re-open the ramp by 5:30 AM https://t.co/ypheCYwR01
69	2	"Closed due to road construction in #TheWoodlands on I-45 N Fwy Outbound between Rayford and Woodlands Pkwy, stopp... https://t.co/vuUN2yElDh"
70	1	"Road construction, two lanes closed in #Miami on I-95 SB at NW 79th St #SFLtraffic https://t.co/US2j7IOBPL"
71	2	Closed due to road construction in #TheWoodlands on I-45 N Fwy Outbound between Rayford and Woodlands Pkwy #traffic https://t.co/vuUN2yElDh
72	2	Closed due to road construction in #GoldenGlades on 95 Express SB between Golden Glades Exit and Downtown Miami Exit #SFLtraffic
73	2	Traffic Alert: #Hwy1 near Oso Flaco Lake Rd between Guadalupe &amp; Nipomo is CLOSED each way due to flooding. Use caution & other route. The estimated time of opening road is 9am. https://t.co/rw702U51bd
74	0	BIG conference win on the road! Closed game on 18-5 run and got stops when we needed them most! Great effort by all… https://t.co/GuM4cejlXO
75	2	"1XX Vinal Street, national grid off with some kind of gas issue, road is closed, drivers should seek alternate routes @Revere311"
76	2	Road closed --- due to an accident in #Wittmann on Grand Ave WB at 203rd Ave and before 211th Ave #PHXtraffic https://t.co/hUIi7YWVvM
77	2	Road closed --- due to an accident in #Wittmann on Grand Ave WB west of 203rd Ave #PHXtraffic https://t.co/hUIi7YWVvM
78	2	Major Crash on Day St. WB at Hill St. in Montgomery. Road closed. Seek alternate route. More details: https://t.co/62nZgpXee2
79	2	Road closed due to broken water main in #Phoenix on 7th Ave Both NB/SB at Deer Vly Rd #PHXtraffic https://t.co/hUIi7YWVvM
80	1	"Road construction, right lane closed in #PaTurnpike on PATP WB between Pittsburgh and Allegheny Vly #traffic https://t.co/SL0Oqn0Vyr"
81	1	"Road construction, right lane closed in #PaTurnpike on PATP EB between PA-18 and Cranberry #traffic https://t.co/SL0Oqn0Vyr"
82	1	"Road construction, left lane closed in #Brevard on I 95 NB at US-192 #traffic https://t.co/YKhnnOgYFK"
83	0	The road I live in is closed. (For good reason) https://t.co/Ugq1h7KF6M
84	0	The Bookmobile will not be on the road tomorrow due to expected road conditions. If a travel advisory is issued for… https://t.co/EHz6VBoFNy
85	1	"Road construction, right lane closed in #Albuquerque on Juan Tabo Blvd SB from Candelaria Rd to past Indian School Rd #traffic"
86	2	Closed due to road construction in #Sw on Goff NB north of Quiet Ln #traffic https://t.co/roJyGryxFq
87	1	Road construction-- right and center lane closed in #Albuquerque on Gibson Blvd EB east of Louisiana Blvd #traffic https://t.co/roJyGryxFq
88	1	"Road construction, right lane closed in #Albuquerque on Comanche Rd EB from Morris St to Juan Tabo Blvd #traffic https://t.co/roJyGryxFq"
89	0	 never thought I would see my Face/Name on #ProWrestling flyer. When I started this #ProWrestling training road m
90	1	"Road construction, right lane closed in #Latham on Hwy 2 WB between Swatling Rd and Grove Ave #traffic https://t.co/Lz3PqqUkWC"
91	0	"We're excited to say: Dupont Road Is Wide Open Again! No, we weren't closed... the road widening construction has… https://t.co/rV2xCV0xna"
92	2	@The_Jank @moneyries @TheVic @WSDAH Go down north 12th street all the way to thr River. The road is closed now to the public. North 12th and Kent Ave https://t.co/L3OqSYT8hG
93	2	Closed due to road construction in #Albuquerque on Cutler Both EB/WB west of Washington St #traffic https://t.co/roJyGryxFq
94	1	"Road construction, left lane closed in #Albuquerque on Tijeras Ave EB west of 3rd St #traffic https://t.co/roJyGryxFq"
95	1	"Road construction, shoulder closed in #ElPaso on I 10 Both EB/WB from Executive Ctr Blvd to Sunland Park Dr #traffic https://t.co/nZ2qPHc0XJ"
96	1	"Road construction, left lane closed in #BloomfieldHills on Telegraph Rd Both NB/SB at Fairfax Ave #traffic https://t.co/93KUmrD8jO"
97	0	"There’s no Wells Fargo Bank on Beatties Ford Road, and the two ATMs they had, they’ve closed them. From Johnson C Smith University to Huntersville… https://t.co/tyVMCXzcMr"
98	0	"PLATTESCHOOLS: Due to the current weather conditions, and hazardous road conditions, all schools will be closed today, Friday, January 11th https://t.co/p6xYJzp8Pd"
99	2	Road closed due to broken water main in #Phoenix on 7th Ave Both NB/SB at Deer Vly Rd #PHXtraffic https://t.co/hUIi7YWVvM
100	1	"Road construction, left lane closed in #EastBatonRouge on I 10 EB between Perkins Rd and Acadian Thruway #traffic https://t.co/1WyWN3ulTM"
101	1	Road construction. off ramp left lanes closed in #FortLauderdale on I-95 SB at Cypress Crk Rd #SFLtraffic https://t.co/US2j7IOBPL
102	1	Road construction. four right lanes closed in #NorthwestDade on I-75 NB at Miami Gardens Dr #SFLtraffic https://t.co/US2j7IOBPL
103	1	Road construction. two left lanes closed in #Miami on I-95 SB at NW 62nd St #SFLtraffic https://t.co/US2j7IOBPL
104	1	Road construction. two right lanes closed in #Tamarac on SR-91 Florida's Tpke SB before Commercial Blvd #SFLtraffic https://t.co/US2j7IOBPL
105	2	Off ramp closed due to road construction in #Broward on I-595 WB at Florida's Tpke #SFLtraffic https://t.co/US2j7IOBPL
106	1	Road construction. two right lanes closed in #Davie on I-595 WB before Davie Rd #SFLtraffic https://t.co/US2j7IOBPL
107	0	"Check yo people, just passed by there closed road. There’s a tent in the middle https://t.co/v34JjpO44H"
108	2	Closed due to road construction in #Marysville on I-5 SB from 116th St #traffic https://t.co/12UyGMOG9h
109	0	The 2 mile long road where #JaymeCloss was found is blocked off completely. No scene visible but some law enforcement vehicles in and out. Wisconsin State Patrol on scene says expect road to be closed for at least the next 24 hours. https://t.co/68L6MdYMeF
110	0	"All week I’ve been wondering what road GMCB is and why is it going to be closed Saturday. Today it dawned on me that GMCB stands for the governor mario cuomo bridge
 https://t.co/XIWPPd27cu"
111	2	Copper Hill Road in West Suffield is closed between Griffin Road and Stratton Farms due to serious motor vehicle co… https://t.co/U6NYIAx0fW
112	2	Closed due to road construction in #RailroadTracks on Thousand Oaks Dr WB between I 35 and Wurzbach Pkwy #traffic https://t.co/UUKZ2x9VCU
113	2	Closed due to road construction in #SanAntonio on Thousand Oaks Dr EB between Wurzbach Pkwy and I 35 #traffic https://t.co/UUKZ2x9VCU
114	2	Crash involving Overturned Vehicle on I-20 EB @ MP135.9 past Exit 136: I459 in Birmingham. Road closed. Seek altern… https://t.co/Rs77oWzGYO
115	0	also because we got new huge recycling bins when I was little and my sister convinced me to get inside then her and… https://t.co/TGvEVJQ7dc
116	2	From the City of Fair Oaks Ranch: ALERT! Ralph Fair Rd CLOSED between Fair Oaks Pkwy and Keeneland. Fair Oaks PD &amp;
117	2	Road closed. broken glass on roadway. in #CoralSprings on SR-869 Sawgrass Expy NB from Sample Rd to Coral Rdg Dr #SFLtraffic
118	2	#Traffic: Bowen Road in #Lancaster is CLOSED between Broadway &amp; William Street due to downed power lines.
119	1	"Road construction, right lane closed in #SanAntonio on I-35 NB at Weidner, stopped traffic back to Lp 410, delay of 12 mins #traffic"
120	1	"Road construction, left lane closed in #SanAntonio on I-35 NB at Weidner, stopped traffic back to Lp 410, delay of 12 mins #traffic"
121	1	"Road construction, right lane closed in #Albuquerque on Juan Tabo Blvd SB from Candelaria Rd to past Indian School Rd #traffic"
122	2	Closed due to road construction in #Sw on Goff NB north of Quiet Ln #traffic https://t.co/roJyGryxFq
123	1	Road construction-- right and center lane closed in #Albuquerque on Gibson Blvd EB east of Louisiana Blvd #traffic https://t.co/roJyGryxFq
124	1	"Road construction, right lane closed in #Albuquerque on Comanche Rd EB from Morris St to Juan Tabo Blvd #traffic https://t.co/roJyGryxFq"
125	2	ROAD CLOSUREPark Road (Southbound lanes only) between Selwyn Avenue and Tyvola Road are CLOSED and will re-op… https://t.co/TNZvF9lB8A
126	0	"@Marlboro2019 @mhs_class2020  ""Parts of Poirier Dr. may be closed throughout the week of January 14. This road work… https://t.co/88kepoRnj2"
127	1	"Road construction, left lane closed in #SanAntonio on I-35 NB at Weidner, stop and go traffic back to Lp 410, delay of 5 mins #traffic"
128	1	"Road construction, right lane closed in #Chester on I-95 NB between Kerlin St and PA-320, jammed back to US-322, delay of 6 mins #traffic"
129	1	"Road construction, right lane closed in #Chester on I-95 NB between US-322 and Kerlin St, jammed back to PA-452, delay of 9 mins #traffic"
130	1	"Road construction, right lane closed in #ElPaso on TX-375 Lp NB between S Zaragoza Rd and Padres Dr #traffic https://t.co/nZ2qPHc0XJ"
131	1	"Road construction, left lane closed in #Euless on 121 NB at Harwood Rd, stop and go traffic back to Bedford Rd, delay of 4 mins #DFWTraffic"
132	1	"Road construction, right lane closed in #ElPaso on Gtwy Blvd N NB between Hercules Ave and Hondo Pass Dr #traffic https://t.co/nZ2qPHc0XJ"
133	1	"Road construction, shoulder closed in #Conshohocken on I-76 WB between Conshohocken Curve and Conshohocken, delay of 2 mins #traffic"
134	0	"The Bill Miller on Fredericksburg Road closed ""due to slow sales and no ability to a drive thru"" https://t.co/qtKKQYCYkD"
135	1	"Road construction, right lane closed in #FortWorth on 30 EB at Chapel Crk Blvd, stop and go traffic back to Spur 580, delay of 11 mins"
136	2	Closed due to road construction in #Albuquerque on Cutler Both EB/WB west of Washington St #traffic https://t.co/roJyGryxFq
137	1	"Road construction, left lane closed in #Euless on 121 NB at Harwood Rd, stop and go traffic back to 183, delay of 9 mins #DFWTraffic"
138	1	"Road construction, right lane closed in #FortWorth on E Lp 820 NB at Ramey Ave, stop and go traffic back to Wilbarger St, delay of 9 mins"
139	1	"Road construction, right lane closed in #FortWorth on E Lp 820 NB at Berry St, stop and go traffic back to Wilbarger St, delay of 5 mins"
140	1	"Road construction, right lane closed in #FortWorth on 30 EB at Chapel Crk Blvd, stop and go traffic back to Spur 580, delay of 6 mins"
141	1	"Road construction, left lane closed in #Albuquerque on Tijeras Ave EB west of 3rd St #traffic https://t.co/roJyGryxFq"
142	1	"Road construction, shoulder closed in #ElPaso on I 10 Both EB/WB from Executive Ctr Blvd to Sunland Park Dr #traffic https://t.co/nZ2qPHc0XJ"
