coordinates,coordinates.coordinates,coordinates.type,created_at,geo,geo.coordinates,geo.type,id,place.bounding_box.coordinates,place.bounding_box.type,place.contained_within,place.country,place.country_code,place.full_name,place.id,place.name,place.place_type,place.url,text,user.contributors_enabled,user.created_at,user.default_profile,user.default_profile_image,user.description,user.entities.description.urls,user.entities.url.urls,user.favourites_count,user.follow_request_sent,user.followers_count,user.following,user.friends_count,user.geo_enabled,user.has_extended_profile,user.id,user.id_str,user.is_translation_enabled,user.is_translator,user.lang,user.listed_count,user.location,user.name,user.notifications,user.profile_background_color,user.profile_background_image_url,user.profile_background_image_url_https,user.profile_background_tile,user.profile_banner_url,user.profile_image_url,user.profile_image_url_https,user.profile_link_color,user.profile_sidebar_border_color,user.profile_sidebar_fill_color,user.profile_text_color,user.profile_use_background_image,user.protected,user.screen_name,user.statuses_count,user.time_zone,user.translator_type,user.url,user.utc_offset,user.verified
,,,Mon Jan 14 11:23:01 +0000 2019,,,,1084772872449593345,"[[[-70.62084, 41.4245617], [-70.586828, 41.4245617], [-70.586828, 41.470139], [-70.62084, 41.470139]]]",Polygon,[],United States,US,"Vineyard Haven, MA",c9ef999877b4813e,Vineyard Haven,city,https://api.twitter.com/1.1/geo/id/c9ef999877b4813e.json,The drainage project on Center Street in #VineyardHaven continues this week - the road is closed to parking and… https://t.co/X04Uiougpu,False,Mon Apr 20 01:24:54 +0000 2009,False,False,"The Martha's Vineyard Twitter account. Following the Vineyard has never been easier! Our links are geotagged, see our map at https://t.co/G4Wyax8aOp","[{'expanded_url': 'http://mvtweets.com', 'url': 'https://t.co/G4Wyax8aOp', 'indices': [125, 148], 'display_url': 'mvtweets.com'}]","[{'expanded_url': 'http://mvtweets.com', 'url': 'http://t.co/G4Wyax8IDX', 'indices': [0, 22], 'display_url': 'mvtweets.com'}]",1906,False,8505,False,9146,True,False,33367205,33367205,False,False,en,355,"Martha's Vineyard, MA",mv tweets,False,FFFFFF,http://abs.twimg.com/images/themes/theme3/bg.gif,https://abs.twimg.com/images/themes/theme3/bg.gif,False,https://pbs.twimg.com/profile_banners/33367205/1543344373,http://pbs.twimg.com/profile_images/882372436796112896/4yvLQSS-_normal.jpg,https://pbs.twimg.com/profile_images/882372436796112896/4yvLQSS-_normal.jpg,00ACEE,FFFFFF,F0F0F0,000000,True,False,mvtweets,72921,,regular,http://t.co/G4Wyax8IDX,,False
,"[-97.31861, 32.7677]",Point,Mon Jan 14 10:33:20 +0000 2019,,"[32.7677, -97.31861]",Point,1084760368302489600,"[[[-97.538285, 32.569477], [-97.033542, 32.569477], [-97.033542, 32.990456], [-97.538285, 32.990456]]]",Polygon,[],United States,US,"Fort Worth, TX",42e46bc3663a4b5f,Fort Worth,city,https://api.twitter.com/1.1/geo/id/42e46bc3663a4b5f.json,"Closed due to road construction in #FortWorth on 35W SB at Pharr, stop and go traffic back to Northside Dr… https://t.co/AyfxrFRbqU",False,Thu May 21 21:15:33 +0000 2009,False,False,Total Traffic Network for Dallas/Fort Worth-Call us to report traffic delays: 214-866-8888,[],"[{'expanded_url': 'http://www.totaltraffic.com/', 'url': 'http://t.co/vThEPeuicN', 'indices': [0, 22], 'display_url': 'totaltraffic.com'}]",191,False,12096,False,372,True,False,41679815,41679815,False,False,en,286,Dallas/Fort Worth,Total Traffic DFW,False,51EDC6,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,True,,http://pbs.twimg.com/profile_images/439092889390309376/gmZyQ8YO_normal.png,https://pbs.twimg.com/profile_images/439092889390309376/gmZyQ8YO_normal.png,402A17,4A2C1E,60F0D3,42301C,True,False,TotalTrafficDFW,275709,,none,http://t.co/vThEPeuicN,,False
,"[-97.31861, 32.7677]",Point,Mon Jan 14 10:32:16 +0000 2019,,"[32.7677, -97.31861]",Point,1084760100538122240,"[[[-97.538285, 32.569477], [-97.033542, 32.569477], [-97.033542, 32.990456], [-97.538285, 32.990456]]]",Polygon,[],United States,US,"Fort Worth, TX",42e46bc3663a4b5f,Fort Worth,city,https://api.twitter.com/1.1/geo/id/42e46bc3663a4b5f.json,Closed due to road construction in #FortWorth on 35W SB at Pharr #DFWTraffic https://t.co/4NzBppXRvr,False,Thu May 21 21:15:33 +0000 2009,False,False,Total Traffic Network for Dallas/Fort Worth-Call us to report traffic delays: 214-866-8888,[],"[{'expanded_url': 'http://www.totaltraffic.com/', 'url': 'http://t.co/vThEPeuicN', 'indices': [0, 22], 'display_url': 'totaltraffic.com'}]",191,False,12096,False,372,True,False,41679815,41679815,False,False,en,286,Dallas/Fort Worth,Total Traffic DFW,False,51EDC6,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,True,,http://pbs.twimg.com/profile_images/439092889390309376/gmZyQ8YO_normal.png,https://pbs.twimg.com/profile_images/439092889390309376/gmZyQ8YO_normal.png,402A17,4A2C1E,60F0D3,42301C,True,False,TotalTrafficDFW,275709,,none,http://t.co/vThEPeuicN,,False
,"[-97.32055, 32.70593]",Point,Mon Jan 14 06:24:13 +0000 2019,,"[32.70593, -97.32055]",Point,1084697676724297728,"[[[-97.538285, 32.569477], [-97.033542, 32.569477], [-97.033542, 32.990456], [-97.538285, 32.990456]]]",Polygon,[],United States,US,"Fort Worth, TX",42e46bc3663a4b5f,Fort Worth,city,https://api.twitter.com/1.1/geo/id/42e46bc3663a4b5f.json,Road construction. two left lanes closed in #FortWorth on 35W SB between Berry St and Seminary Dr #DFWTraffic https://t.co/4NzBppXRvr,False,Thu May 21 21:15:33 +0000 2009,False,False,Total Traffic Network for Dallas/Fort Worth-Call us to report traffic delays: 214-866-8888,[],"[{'expanded_url': 'http://www.totaltraffic.com/', 'url': 'http://t.co/vThEPeuicN', 'indices': [0, 22], 'display_url': 'totaltraffic.com'}]",191,False,12096,False,372,True,False,41679815,41679815,False,False,en,286,Dallas/Fort Worth,Total Traffic DFW,False,51EDC6,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,True,,http://pbs.twimg.com/profile_images/439092889390309376/gmZyQ8YO_normal.png,https://pbs.twimg.com/profile_images/439092889390309376/gmZyQ8YO_normal.png,402A17,4A2C1E,60F0D3,42301C,True,False,TotalTrafficDFW,275709,,none,http://t.co/vThEPeuicN,,False
,"[-97.32055, 32.70593]",Point,Mon Jan 14 04:57:26 +0000 2019,,"[32.70593, -97.32055]",Point,1084675838782656512,"[[[-97.538285, 32.569477], [-97.033542, 32.569477], [-97.033542, 32.990456], [-97.538285, 32.990456]]]",Polygon,[],United States,US,"Fort Worth, TX",42e46bc3663a4b5f,Fort Worth,city,https://api.twitter.com/1.1/geo/id/42e46bc3663a4b5f.json,Road construction. three left lanes closed in #FortWorth on 35W SB between Berry St and Seminary Dr #DFWTraffic https://t.co/4NzBppXRvr,False,Thu May 21 21:15:33 +0000 2009,False,False,Total Traffic Network for Dallas/Fort Worth-Call us to report traffic delays: 214-866-8888,[],"[{'expanded_url': 'http://www.totaltraffic.com/', 'url': 'http://t.co/vThEPeuicN', 'indices': [0, 22], 'display_url': 'totaltraffic.com'}]",191,False,12096,False,372,True,False,41679815,41679815,False,False,en,286,Dallas/Fort Worth,Total Traffic DFW,False,51EDC6,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,True,,http://pbs.twimg.com/profile_images/439092889390309376/gmZyQ8YO_normal.png,https://pbs.twimg.com/profile_images/439092889390309376/gmZyQ8YO_normal.png,402A17,4A2C1E,60F0D3,42301C,True,False,TotalTrafficDFW,275709,,none,http://t.co/vThEPeuicN,,False
,"[-105.4311, 39.74258]",Point,Mon Jan 14 04:43:56 +0000 2019,,"[39.74258, -105.4311]",Point,1084672441480286209,"[[[-109.060257, 36.992427], [-102.041524, 36.992427], [-102.041524, 41.003445], [-109.060257, 41.003445]]]",Polygon,[],United States,US,"Colorado, USA",e21c8e4914eef2b3,Colorado,admin,https://api.twitter.com/1.1/geo/id/e21c8e4914eef2b3.json,Closed due to road construction in #Evergreen on 6th Ave. Frwy Both EB/WB between US 40 and CO-119 #COtraffic https://t.co/gWR42BHdvb,False,Wed Feb 09 00:14:13 +0000 2011,False,False,"Your number one source for traffic updates throughout Colorado. If you see a Traffic Problem, call our Tipline! 303-713-8618 #COTraffic",[],"[{'expanded_url': 'http://metrotraffic.com/LocalTraffic/Denver/', 'url': 'http://t.co/WS826V3xDU', 'indices': [0, 22], 'display_url': 'metrotraffic.com/LocalTraffic/D…'}]",1247,False,1703,False,832,True,False,249407475,249407475,False,False,en,116,"Denver, CO",TTN Denver,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,True,,http://pbs.twimg.com/profile_images/439092558551982081/aXId7-en_normal.png,https://pbs.twimg.com/profile_images/439092558551982081/aXId7-en_normal.png,0084B4,FFFFFF,DDEEF6,333333,True,False,TotalTrafficDEN,72068,,none,http://t.co/WS826V3xDU,,False
,"[-112.0829, 33.68369]",Point,Mon Jan 14 04:08:58 +0000 2019,,"[33.68369, -112.0829]",Point,1084663639733403653,"[[[-112.3239143, 33.29026], [-111.9254391, 33.29026], [-111.9254391, 33.8154652], [-112.3239143, 33.8154652]]]",Polygon,[],United States,US,"Phoenix, AZ",5c62ffb0f0f3479d,Phoenix,city,https://api.twitter.com/1.1/geo/id/5c62ffb0f0f3479d.json,Road closed due to broken water main in #Phoenix on 7th Ave Both NB/SB at Deer Vly Rd #PHXtraffic https://t.co/hUIi7YWVvM,False,Wed Feb 09 22:48:40 +0000 2011,False,False,Call in your Traffic Problems - 602-374-6300,[],"[{'expanded_url': 'http://TTWnetwork.com', 'url': 'http://t.co/8EKZi4k5rI', 'indices': [0, 22], 'display_url': 'TTWnetwork.com'}]",61,False,1974,False,187,True,False,249856377,249856377,False,False,en,131,"Phoenix, AZ",TTN Phoenix,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,True,,http://pbs.twimg.com/profile_images/439098732013838337/8q9ZLgpa_normal.png,https://pbs.twimg.com/profile_images/439098732013838337/8q9ZLgpa_normal.png,0084B4,C0DEED,DDEEF6,333333,True,False,TotalTrafficPHX,119849,,none,http://t.co/8EKZi4k5rI,,False
,"[-97.32055, 32.713]",Point,Mon Jan 14 04:07:56 +0000 2019,,"[32.713, -97.32055]",Point,1084663377908121601,"[[[-97.538285, 32.569477], [-97.033542, 32.569477], [-97.033542, 32.990456], [-97.538285, 32.990456]]]",Polygon,[],United States,US,"Fort Worth, TX",42e46bc3663a4b5f,Fort Worth,city,https://api.twitter.com/1.1/geo/id/42e46bc3663a4b5f.json,Road construction. three left lanes closed in #FortWorth on 35W SB between Morningside Dr and Seminary Dr… https://t.co/mSqz9axgJX,False,Thu May 21 21:15:33 +0000 2009,False,False,Total Traffic Network for Dallas/Fort Worth-Call us to report traffic delays: 214-866-8888,[],"[{'expanded_url': 'http://www.totaltraffic.com/', 'url': 'http://t.co/vThEPeuicN', 'indices': [0, 22], 'display_url': 'totaltraffic.com'}]",191,False,12096,False,372,True,False,41679815,41679815,False,False,en,286,Dallas/Fort Worth,Total Traffic DFW,False,51EDC6,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,True,,http://pbs.twimg.com/profile_images/439092889390309376/gmZyQ8YO_normal.png,https://pbs.twimg.com/profile_images/439092889390309376/gmZyQ8YO_normal.png,402A17,4A2C1E,60F0D3,42301C,True,False,TotalTrafficDFW,275709,,none,http://t.co/vThEPeuicN,,False
,"[-97.3204, 32.72612]",Point,Mon Jan 14 04:01:12 +0000 2019,,"[32.72612, -97.3204]",Point,1084661687171641344,"[[[-97.538285, 32.569477], [-97.033542, 32.569477], [-97.033542, 32.990456], [-97.538285, 32.990456]]]",Polygon,[],United States,US,"Fort Worth, TX",42e46bc3663a4b5f,Fort Worth,city,https://api.twitter.com/1.1/geo/id/42e46bc3663a4b5f.json,"Road construction. three left lanes closed in #FortWorth on 35W SB between Allen Ave and Seminary Dr, stop and go... https://t.co/4NzBppXRvr",False,Thu May 21 21:15:33 +0000 2009,False,False,Total Traffic Network for Dallas/Fort Worth-Call us to report traffic delays: 214-866-8888,[],"[{'expanded_url': 'http://www.totaltraffic.com/', 'url': 'http://t.co/vThEPeuicN', 'indices': [0, 22], 'display_url': 'totaltraffic.com'}]",191,False,12096,False,372,True,False,41679815,41679815,False,False,en,286,Dallas/Fort Worth,Total Traffic DFW,False,51EDC6,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,True,,http://pbs.twimg.com/profile_images/439092889390309376/gmZyQ8YO_normal.png,https://pbs.twimg.com/profile_images/439092889390309376/gmZyQ8YO_normal.png,402A17,4A2C1E,60F0D3,42301C,True,False,TotalTrafficDFW,275709,,none,http://t.co/vThEPeuicN,,False
,"[-97.3204, 32.72612]",Point,Mon Jan 14 04:00:09 +0000 2019,,"[32.72612, -97.3204]",Point,1084661421235978240,"[[[-97.538285, 32.569477], [-97.033542, 32.569477], [-97.033542, 32.990456], [-97.538285, 32.990456]]]",Polygon,[],United States,US,"Fort Worth, TX",42e46bc3663a4b5f,Fort Worth,city,https://api.twitter.com/1.1/geo/id/42e46bc3663a4b5f.json,"Road construction. two left lanes closed in #FortWorth on 35W SB between Allen Ave and Seminary Dr, stop and go traffic back to Rosedale St",False,Thu May 21 21:15:33 +0000 2009,False,False,Total Traffic Network for Dallas/Fort Worth-Call us to report traffic delays: 214-866-8888,[],"[{'expanded_url': 'http://www.totaltraffic.com/', 'url': 'http://t.co/vThEPeuicN', 'indices': [0, 22], 'display_url': 'totaltraffic.com'}]",191,False,12096,False,372,True,False,41679815,41679815,False,False,en,286,Dallas/Fort Worth,Total Traffic DFW,False,51EDC6,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,True,,http://pbs.twimg.com/profile_images/439092889390309376/gmZyQ8YO_normal.png,https://pbs.twimg.com/profile_images/439092889390309376/gmZyQ8YO_normal.png,402A17,4A2C1E,60F0D3,42301C,True,False,TotalTrafficDFW,275709,,none,http://t.co/vThEPeuicN,,False
